Reading xml/1998statistics.xml... done.
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.00 job=gzip9 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.12 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.12 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.13 job=bzip2 file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.04 job=repair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml
RESULT time=0.05 job=treerepair file=xml/1998statistics.xml

Reading xml/dblp.xml... done.
RESULT time=2.44 job=gzip9 file=xml/dblp.xml
RESULT time=2.51 job=gzip9 file=xml/dblp.xml
RESULT time=2.53 job=gzip9 file=xml/dblp.xml
RESULT time=2.53 job=gzip9 file=xml/dblp.xml
RESULT time=2.51 job=gzip9 file=xml/dblp.xml
RESULT time=2.47 job=gzip9 file=xml/dblp.xml
RESULT time=2.44 job=gzip9 file=xml/dblp.xml
RESULT time=2.44 job=gzip9 file=xml/dblp.xml
RESULT time=2.43 job=gzip9 file=xml/dblp.xml
RESULT time=2.42 job=gzip9 file=xml/dblp.xml
RESULT time=74.30 job=bzip2 file=xml/dblp.xml
RESULT time=75.98 job=bzip2 file=xml/dblp.xml
RESULT time=76.75 job=bzip2 file=xml/dblp.xml
RESULT time=74.00 job=bzip2 file=xml/dblp.xml
RESULT time=73.55 job=bzip2 file=xml/dblp.xml
RESULT time=73.75 job=bzip2 file=xml/dblp.xml
RESULT time=73.49 job=bzip2 file=xml/dblp.xml
RESULT time=75.46 job=bzip2 file=xml/dblp.xml
RESULT time=75.26 job=bzip2 file=xml/dblp.xml
RESULT time=75.24 job=bzip2 file=xml/dblp.xml
RESULT time=40.02 job=repair file=xml/dblp.xml
RESULT time=41.92 job=repair file=xml/dblp.xml
RESULT time=39.16 job=repair file=xml/dblp.xml
RESULT time=39.98 job=repair file=xml/dblp.xml
RESULT time=40.28 job=repair file=xml/dblp.xml
RESULT time=40.85 job=repair file=xml/dblp.xml
RESULT time=38.44 job=repair file=xml/dblp.xml
RESULT time=37.47 job=repair file=xml/dblp.xml
RESULT time=37.46 job=repair file=xml/dblp.xml
RESULT time=37.38 job=repair file=xml/dblp.xml
RESULT time=45.32 job=treerepair file=xml/dblp.xml
RESULT time=45.44 job=treerepair file=xml/dblp.xml
RESULT time=45.63 job=treerepair file=xml/dblp.xml
RESULT time=45.77 job=treerepair file=xml/dblp.xml
RESULT time=46.27 job=treerepair file=xml/dblp.xml
RESULT time=45.67 job=treerepair file=xml/dblp.xml
RESULT time=45.34 job=treerepair file=xml/dblp.xml
RESULT time=46.77 job=treerepair file=xml/dblp.xml
RESULT time=46.51 job=treerepair file=xml/dblp.xml
RESULT time=46.48 job=treerepair file=xml/dblp.xml

Reading xml/enwiki-latest-pages-articles12.xml... done.
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.28 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.28 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.28 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=1.29 job=gzip9 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=48.76 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=48.67 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=48.83 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=49.20 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=48.92 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=49.20 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=49.04 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=49.58 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=49.26 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=49.21 job=bzip2 file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.37 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.33 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.29 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.26 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.33 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.42 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.28 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.33 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.27 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=28.52 job=repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=33.03 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=32.50 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=33.15 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=32.92 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=33.47 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=33.22 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=32.92 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=33.46 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=32.76 job=treerepair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=32.73 job=treerepair file=xml/enwiki-latest-pages-articles12.xml

Reading xml/factor12.xml... done.
RESULT time=4.54 job=gzip9 file=xml/factor12.xml
RESULT time=4.47 job=gzip9 file=xml/factor12.xml
RESULT time=4.49 job=gzip9 file=xml/factor12.xml
RESULT time=4.46 job=gzip9 file=xml/factor12.xml
RESULT time=4.48 job=gzip9 file=xml/factor12.xml
RESULT time=4.48 job=gzip9 file=xml/factor12.xml
RESULT time=4.47 job=gzip9 file=xml/factor12.xml
RESULT time=4.48 job=gzip9 file=xml/factor12.xml
RESULT time=4.48 job=gzip9 file=xml/factor12.xml
RESULT time=4.47 job=gzip9 file=xml/factor12.xml
RESULT time=82.30 job=bzip2 file=xml/factor12.xml
RESULT time=81.76 job=bzip2 file=xml/factor12.xml
RESULT time=81.87 job=bzip2 file=xml/factor12.xml
RESULT time=81.98 job=bzip2 file=xml/factor12.xml
RESULT time=81.69 job=bzip2 file=xml/factor12.xml
RESULT time=81.76 job=bzip2 file=xml/factor12.xml
RESULT time=81.88 job=bzip2 file=xml/factor12.xml
RESULT time=81.64 job=bzip2 file=xml/factor12.xml
RESULT time=82.09 job=bzip2 file=xml/factor12.xml
RESULT time=81.85 job=bzip2 file=xml/factor12.xml
RESULT time=54.26 job=repair file=xml/factor12.xml
RESULT time=54.46 job=repair file=xml/factor12.xml
RESULT time=53.98 job=repair file=xml/factor12.xml
RESULT time=54.17 job=repair file=xml/factor12.xml
RESULT time=54.24 job=repair file=xml/factor12.xml
RESULT time=54.20 job=repair file=xml/factor12.xml
RESULT time=54.10 job=repair file=xml/factor12.xml
RESULT time=54.38 job=repair file=xml/factor12.xml
RESULT time=54.14 job=repair file=xml/factor12.xml
RESULT time=53.96 job=repair file=xml/factor12.xml
RESULT time=108.35 job=treerepair file=xml/factor12.xml
RESULT time=106.82 job=treerepair file=xml/factor12.xml
RESULT time=107.38 job=treerepair file=xml/factor12.xml
RESULT time=107.84 job=treerepair file=xml/factor12.xml
RESULT time=108.58 job=treerepair file=xml/factor12.xml
RESULT time=110.95 job=treerepair file=xml/factor12.xml
RESULT time=110.37 job=treerepair file=xml/factor12.xml
RESULT time=112.04 job=treerepair file=xml/factor12.xml
RESULT time=111.97 job=treerepair file=xml/factor12.xml
RESULT time=111.62 job=treerepair file=xml/factor12.xml

Reading xml/factor2.xml... done.
RESULT time=0.75 job=gzip9 file=xml/factor2.xml
RESULT time=0.75 job=gzip9 file=xml/factor2.xml
RESULT time=0.74 job=gzip9 file=xml/factor2.xml
RESULT time=0.75 job=gzip9 file=xml/factor2.xml
RESULT time=0.74 job=gzip9 file=xml/factor2.xml
RESULT time=0.74 job=gzip9 file=xml/factor2.xml
RESULT time=0.74 job=gzip9 file=xml/factor2.xml
RESULT time=0.74 job=gzip9 file=xml/factor2.xml
RESULT time=0.74 job=gzip9 file=xml/factor2.xml
RESULT time=0.75 job=gzip9 file=xml/factor2.xml
RESULT time=13.98 job=bzip2 file=xml/factor2.xml
RESULT time=13.77 job=bzip2 file=xml/factor2.xml
RESULT time=14.72 job=bzip2 file=xml/factor2.xml
RESULT time=14.33 job=bzip2 file=xml/factor2.xml
RESULT time=13.85 job=bzip2 file=xml/factor2.xml
RESULT time=13.76 job=bzip2 file=xml/factor2.xml
RESULT time=13.72 job=bzip2 file=xml/factor2.xml
RESULT time=13.94 job=bzip2 file=xml/factor2.xml
RESULT time=14.23 job=bzip2 file=xml/factor2.xml
RESULT time=13.94 job=bzip2 file=xml/factor2.xml
RESULT time=8.73 job=repair file=xml/factor2.xml
RESULT time=8.59 job=repair file=xml/factor2.xml
RESULT time=8.65 job=repair file=xml/factor2.xml
RESULT time=9.11 job=repair file=xml/factor2.xml
RESULT time=8.80 job=repair file=xml/factor2.xml
RESULT time=8.57 job=repair file=xml/factor2.xml
RESULT time=8.57 job=repair file=xml/factor2.xml
RESULT time=8.57 job=repair file=xml/factor2.xml
RESULT time=8.57 job=repair file=xml/factor2.xml
RESULT time=8.56 job=repair file=xml/factor2.xml
RESULT time=18.33 job=treerepair file=xml/factor2.xml
RESULT time=18.62 job=treerepair file=xml/factor2.xml
RESULT time=19.23 job=treerepair file=xml/factor2.xml
RESULT time=19.00 job=treerepair file=xml/factor2.xml
RESULT time=18.58 job=treerepair file=xml/factor2.xml
RESULT time=18.18 job=treerepair file=xml/factor2.xml
RESULT time=18.62 job=treerepair file=xml/factor2.xml
RESULT time=18.69 job=treerepair file=xml/factor2.xml
RESULT time=18.35 job=treerepair file=xml/factor2.xml
RESULT time=18.72 job=treerepair file=xml/factor2.xml

Reading xml/factor4.8.xml... done.
RESULT time=1.88 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.81 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.79 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.80 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.79 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.80 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.79 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.79 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.79 job=gzip9 file=xml/factor4.8.xml
RESULT time=1.79 job=gzip9 file=xml/factor4.8.xml
RESULT time=33.11 job=bzip2 file=xml/factor4.8.xml
RESULT time=33.35 job=bzip2 file=xml/factor4.8.xml
RESULT time=33.16 job=bzip2 file=xml/factor4.8.xml
RESULT time=33.05 job=bzip2 file=xml/factor4.8.xml
RESULT time=32.99 job=bzip2 file=xml/factor4.8.xml
RESULT time=32.95 job=bzip2 file=xml/factor4.8.xml
RESULT time=33.51 job=bzip2 file=xml/factor4.8.xml
RESULT time=32.97 job=bzip2 file=xml/factor4.8.xml
RESULT time=33.07 job=bzip2 file=xml/factor4.8.xml
RESULT time=34.40 job=bzip2 file=xml/factor4.8.xml
RESULT time=21.30 job=repair file=xml/factor4.8.xml
RESULT time=21.32 job=repair file=xml/factor4.8.xml
RESULT time=21.66 job=repair file=xml/factor4.8.xml
RESULT time=21.49 job=repair file=xml/factor4.8.xml
RESULT time=21.42 job=repair file=xml/factor4.8.xml
RESULT time=21.73 job=repair file=xml/factor4.8.xml
RESULT time=21.57 job=repair file=xml/factor4.8.xml
RESULT time=22.64 job=repair file=xml/factor4.8.xml
RESULT time=22.10 job=repair file=xml/factor4.8.xml
