Reading xml/1998statistics.xml... done.
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml
RESULT time=0.00 job=tt-classic file=xml/1998statistics.xml

Reading xml/dblp.xml... done.
RESULT time=6.34 job=tt-classic file=xml/dblp.xml
RESULT time=5.93 job=tt-classic file=xml/dblp.xml
RESULT time=5.93 job=tt-classic file=xml/dblp.xml
RESULT time=5.92 job=tt-classic file=xml/dblp.xml
RESULT time=5.93 job=tt-classic file=xml/dblp.xml
RESULT time=5.90 job=tt-classic file=xml/dblp.xml
RESULT time=5.88 job=tt-classic file=xml/dblp.xml
RESULT time=5.89 job=tt-classic file=xml/dblp.xml
RESULT time=5.89 job=tt-classic file=xml/dblp.xml
RESULT time=5.90 job=tt-classic file=xml/dblp.xml

Reading xml/enwiki-latest-pages-articles12.xml... done.
RESULT time=3.89 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.89 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.88 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=4.14 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.87 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.88 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.88 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.89 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.87 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml
RESULT time=3.88 job=tt-classic file=xml/enwiki-latest-pages-articles12.xml

Reading xml/factor12.xml... done.
RESULT time=6.96 job=tt-classic file=xml/factor12.xml
RESULT time=7.01 job=tt-classic file=xml/factor12.xml
RESULT time=7.01 job=tt-classic file=xml/factor12.xml
RESULT time=6.96 job=tt-classic file=xml/factor12.xml
RESULT time=6.99 job=tt-classic file=xml/factor12.xml
RESULT time=7.00 job=tt-classic file=xml/factor12.xml
RESULT time=7.00 job=tt-classic file=xml/factor12.xml
RESULT time=6.98 job=tt-classic file=xml/factor12.xml
RESULT time=7.00 job=tt-classic file=xml/factor12.xml
RESULT time=6.97 job=tt-classic file=xml/factor12.xml

Reading xml/factor2.xml... done.
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.15 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.15 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml
RESULT time=1.16 job=tt-classic file=xml/factor2.xml

Reading xml/factor4.8.xml... done.
RESULT time=2.75 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.76 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.75 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.75 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.77 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.75 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.76 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.77 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.78 job=tt-classic file=xml/factor4.8.xml
RESULT time=2.75 job=tt-classic file=xml/factor4.8.xml

Reading xml/factor4.xml... done.
RESULT time=2.33 job=tt-classic file=xml/factor4.xml
RESULT time=2.35 job=tt-classic file=xml/factor4.xml
RESULT time=2.33 job=tt-classic file=xml/factor4.xml
RESULT time=2.33 job=tt-classic file=xml/factor4.xml
RESULT time=2.35 job=tt-classic file=xml/factor4.xml
RESULT time=2.33 job=tt-classic file=xml/factor4.xml
RESULT time=2.57 job=tt-classic file=xml/factor4.xml
RESULT time=2.34 job=tt-classic file=xml/factor4.xml
RESULT time=2.34 job=tt-classic file=xml/factor4.xml
RESULT time=2.32 job=tt-classic file=xml/factor4.xml

Reading xml/factor7.xml... done.
RESULT time=4.10 job=tt-classic file=xml/factor7.xml
RESULT time=4.11 job=tt-classic file=xml/factor7.xml
RESULT time=4.09 job=tt-classic file=xml/factor7.xml
RESULT time=4.10 job=tt-classic file=xml/factor7.xml
RESULT time=4.09 job=tt-classic file=xml/factor7.xml
RESULT time=4.10 job=tt-classic file=xml/factor7.xml
RESULT time=4.10 job=tt-classic file=xml/factor7.xml
RESULT time=4.11 job=tt-classic file=xml/factor7.xml
RESULT time=4.10 job=tt-classic file=xml/factor7.xml
RESULT time=4.10 job=tt-classic file=xml/factor7.xml

Reading xml/JST_gene.chr1.xml... done.
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml
RESULT time=0.04 job=tt-classic file=xml/JST_gene.chr1.xml

Reading xml/JST_snp.chr1.xml... done.
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml
RESULT time=0.23 job=tt-classic file=xml/JST_snp.chr1.xml

Reading xml/nasa.xml... done.
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
RESULT time=0.14 job=tt-classic file=xml/nasa.xml
