Reading xml/1998statistics.xml... done.
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml
RESULT time=0.01 job=tt-repair file=xml/1998statistics.xml

Reading xml/dblp.xml... done.
RESULT time=10.63 job=tt-repair file=xml/dblp.xml
RESULT time=10.61 job=tt-repair file=xml/dblp.xml
RESULT time=10.62 job=tt-repair file=xml/dblp.xml
RESULT time=10.67 job=tt-repair file=xml/dblp.xml
RESULT time=10.61 job=tt-repair file=xml/dblp.xml
RESULT time=10.61 job=tt-repair file=xml/dblp.xml
RESULT time=10.61 job=tt-repair file=xml/dblp.xml
RESULT time=10.62 job=tt-repair file=xml/dblp.xml
RESULT time=10.62 job=tt-repair file=xml/dblp.xml
RESULT time=10.60 job=tt-repair file=xml/dblp.xml

Reading xml/enwiki-latest-pages-articles12.xml... done.
RESULT time=6.80 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.79 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.78 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.79 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.78 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.79 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.77 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.76 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.78 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml
RESULT time=6.80 job=tt-repair file=xml/enwiki-latest-pages-articles12.xml

Reading xml/factor12.xml... done.
RESULT time=10.81 job=tt-repair file=xml/factor12.xml
RESULT time=10.81 job=tt-repair file=xml/factor12.xml
RESULT time=10.81 job=tt-repair file=xml/factor12.xml
RESULT time=10.84 job=tt-repair file=xml/factor12.xml
RESULT time=10.81 job=tt-repair file=xml/factor12.xml
RESULT time=10.80 job=tt-repair file=xml/factor12.xml
RESULT time=10.84 job=tt-repair file=xml/factor12.xml
RESULT time=10.86 job=tt-repair file=xml/factor12.xml
RESULT time=10.81 job=tt-repair file=xml/factor12.xml
RESULT time=10.84 job=tt-repair file=xml/factor12.xml

Reading xml/factor2.xml... done.
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.82 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml
RESULT time=1.84 job=tt-repair file=xml/factor2.xml
RESULT time=1.83 job=tt-repair file=xml/factor2.xml

Reading xml/factor4.8.xml... done.
RESULT time=4.39 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.40 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.40 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.40 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.39 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.39 job=tt-repair file=xml/factor4.8.xml
RESULT time=4.40 job=tt-repair file=xml/factor4.8.xml
